"tag (S)","timestamp (N)","TpUsageLitre (S)"
"rwh/rwh39/TpUsageLitre/0","1592350094","820"
"rwh/rwh39/TpUsageLitre/0","1592350148","820"
"rwh/rwh39/TpUsageLitre/0","1592350151","820"
"rwh/rwh39/TpUsageLitre/0","1592350265","820"
"rwh/rwh39/TpUsageLitre/0","1592350275","820"
"rwh/rwh39/TpUsageLitre/0","1592355638","820"
"rwh/rwh39/TpUsageLitre/0","1592355699","820"
"rwh/rwh39/TpUsageLitre/0","1592355702","820"
"rwh/rwh39/TpUsageLitre/0","1592355818","820"
"rwh/rwh39/TpUsageLitre/0","1592355831","820"
"rwh/rwh39/TpUsageLitre/0","1592376094","820"
"rwh/rwh39/TpUsageLitre/0","1592376095","820"
"rwh/rwh39/TpUsageLitre/0","1592376153","820"
"rwh/rwh39/TpUsageLitre/0","1592376158","820"
"rwh/rwh39/TpUsageLitre/0","1592376283","820"
"rwh/rwh39/TpUsageLitre/0","1592376293","820"
"rwh/rwh39/TpUsageLitre/0","1592436455","820"
"rwh/rwh39/TpUsageLitre/0","1592436456","820"
"rwh/rwh39/TpUsageLitre/0","1592436509","820"
"rwh/rwh39/TpUsageLitre/0","1592436516","820"
"rwh/rwh39/TpUsageLitre/0","1592436629","820"
"rwh/rwh39/TpUsageLitre/0","1592436631","820"
"rwh/rwh39/TpUsageLitre/0","1592442036","820"
"rwh/rwh39/TpUsageLitre/0","1592442091","820"
"rwh/rwh39/TpUsageLitre/0","1592442094","820"
"rwh/rwh39/TpUsageLitre/0","1592442202","820"
"rwh/rwh39/TpUsageLitre/0","1592442218","820"
"rwh/rwh39/TpUsageLitre/0","1592462458","820"
"rwh/rwh39/TpUsageLitre/0","1592462459","820"
"rwh/rwh39/TpUsageLitre/0","1592462514","820"
"rwh/rwh39/TpUsageLitre/0","1592462518","820"
"rwh/rwh39/TpUsageLitre/0","1592462625","820"
"rwh/rwh39/TpUsageLitre/0","1592462647","820"
